Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,New Orleans Saints,16,29.3,469,1105,426,6.2,24.7,107,220,49,13,15,87,107,969,1.289583333,17,9,-3
2,Atlanta Falcons,16,33.8,540,995,415.8,6.7,23.7,75,178,42,8,14,57,104,847,1.265277778,8,4,11
3,Washington Redskins,16,24.8,396,1009,403.4,6.4,21.6,90,199,45,7,14,50,110,909,1.253472222,19,9,0
4,New England Patriots,16,27.6,441,1056,386.2,5.9,21.9,104,227,46,8,12,67,93,819,1.300694444,27,9,12
5,Dallas Cowboys,16,26.3,421,1010,376.7,6,22.4,80,189,42,8,9,89,105,879,1.329861111,22,9,5
6,Oakland Raiders,16,26,416,1048,373.3,5.7,20.9,83,218,38,6,13,46,147,1251,1.322222222,17,7,16
7,Pittsburgh Steelers,16,24.9,399,1026,372.6,5.8,21,83,202,41,9,16,56,113,1068,1.28125,16,3,5
8,Green Bay Packers,16,27,432,1029,368.8,5.7,21.8,98,210,47,7,17,41,100,827,1.301388889,21,9,8
9,Arizona Cardinals,16,26.1,418,1086,366.8,5.4,23,87,214,41,5,10,50,104,889,1.286805556,27,11,0
10,Indianapolis Colts,16,25.7,411,1037,364.4,5.6,21.9,87,202,43,8,18,44,102,883,1.286111111,16,7,-5
11,Tennessee Titans,16,23.8,381,1008,358,5.7,20.1,100,217,46,4,11,36,110,1012,1.272222222,17,7,0
12,Seattle Seahawks,16,22.1,354,1012,357.2,5.6,19.6,79,207,38,4,11,36,117,970,1.252083333,22,6,1
13,Cincinnati Bengals,16,20.3,325,1050,356.9,5.4,21.3,82,210,39,7,9,78,88,726,1.263888889,20,9,3
14,San Diego Chargers,16,25.6,410,1014,356.8,5.6,21.2,85,200,42,6,12,50,107,780,1.272916667,22,14,-7
15,Chicago Bears,16,17.4,279,967,356.5,5.9,20.2,70,185,38,4,14,29,110,967,1.171527778,26,12,-20
16,Buffalo Bills,16,24.9,399,1012,354.1,5.6,20.5,86,210,41,8,15,53,112,960,1.241666667,15,5,6
17,Baltimore Ravens,16,21.4,343,1079,347.7,5.2,19.8,86,233,37,8,19,42,125,1111,1.281944444,19,7,5
18,Tampa Bay Buccaneers,16,22.1,354,1066,346.4,5.2,21.2,94,214,44,4,9,44,109,926,1.289583333,19,9,2
19,Carolina Panthers,16,23.1,369,1052,343.7,5.2,19.9,83,223,37,11,17,65,98,850,1.284722222,13,10,-2
20,Kansas City Chiefs,16,24.3,389,990,343,5.5,19.1,81,213,38,10,14,71,109,848,1.275,18,9,16
21,Detroit Lions,16,21.6,346,981,338.8,5.5,20.6,83,195,43,7,10,70,100,861,1.254861111,9,5,-1
22,Philadelphia Eagles,16,22.9,367,1080,337.4,5,20.8,85,224,38,13,27,48,113,945,1.354861111,24,6,6
23,Jacksonville Jaguars,16,19.9,318,1052,334.9,5.1,20.1,78,221,35,7,16,44,129,1178,1.214583333,23,13,-16
24,Miami Dolphins,16,22.7,363,912,332.8,5.8,17.4,69,188,37,0,4,0,125,1141,28:60:00,26,8,2
25,New York Giants,16,19.4,310,1018,330.7,5.2,18.1,78,219,36,9,19,47,88,857,1.179861111,22,11,-2
26,New York Jets,16,17.2,275,1003,329.2,5.3,18.2,76,210,36,8,19,42,93,837,1.278472222,24,9,-20
27,Denver Broncos,16,20.8,333,1020,323.1,5.1,18.1,75,219,34,9,17,53,119,985,1.210416667,24,14,2
28,Minnesota Vikings,16,20.4,327,1006,315.1,5,18.9,81,213,38,8,18,44,103,882,1.275,20,11,11
29,Houston Texans,16,17.4,279,1071,314.7,4.7,19.1,87,233,37,9,23,39,87,868,1.315277778,20,8,-7
30,Cleveland Browns,16,16.5,264,983,311,5.1,18.5,77,212,36,13,18,72,95,736,1.177777778,26,11,-12
31,San Francisco 49ers,16,19.3,309,996,308.1,4.9,17.9,78,222,35,10,19,53,99,831,1.122222222,29,15,-5
32,Los Angeles Rams,16,14,224,960,262.7,4.4,15.3,67,213,32,8,20,40,126,1091,1.222916667,24,9,-11
Other Links,,,,,,,,,,,,,,,,,,,,
