Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,New England Patriots,16,36.8,589,1058,411.2,6.2,24.6,92,191,48,15,21,71,78,690,1.354861111,14,6,16
2,Green Bay Packers,16,27.2,435,985,370.7,6,19.2,86,202,43,5,11,46,113,1006,1.263194444,25,9,4
3,Dallas Cowboys,16,28.4,455,975,365.7,6,20.1,84,199,42,10,14,71,104,815,1.273611111,21,5,5
4,New Orleans Saints,16,23.7,379,1060,361.2,5.5,21.6,99,214,46,11,25,44,68,581,1.297916667,25,12,-7
5,Indianapolis Colts,16,28.1,450,1020,358.7,5.6,22.3,100,203,49,6,10,60,67,515,1.242361111,14,5,18
6,Philadelphia Eagles,16,21,336,1047,358.1,5.5,20.2,97,229,42,9,15,60,83,649,1.288888889,24,12,-8
7,Jacksonville Jaguars,16,25.7,411,1022,357.4,5.6,20.5,100,219,46,19,33,58,76,594,1.338888889,18,13,9
8,Cleveland Browns,16,25.1,402,1004,351.3,5.6,19.7,86,204,42,6,15,40,114,868,1.229861111,22,9,-2
9,Seattle Seahawks,16,24.6,393,1056,348.9,5.3,20.2,75,215,35,6,14,43,59,428,1.249305556,21,11,10
10,Cincinnati Bengals,16,23.8,380,1008,348,5.5,20,96,208,46,4,12,33,90,670,1.225,20,10,5
11,Denver Broncos,16,20,320,976,346.3,5.7,19.1,80,198,40,7,22,32,90,610,1.232638889,30,14,1
12,Arizona Cardinals,16,25.2,404,1016,344.1,5.4,19.2,75,203,37,12,14,86,137,1128,1.277777778,27,12,-7
13,Minnesota Vikings,16,22.8,365,964,336.2,5.6,18.4,69,200,34,7,13,54,86,662,1.232638889,27,16,1
14,Houston Texans,16,23.7,379,968,333.6,5.5,18.4,86,193,45,11,15,73,82,636,1.236805556,26,17,-13
15,Washington Redskins,16,20.9,334,1052,333.4,5.1,19.2,92,226,41,6,15,40,90,751,1.299305556,35,18,-5
16,New York Giants,16,23.3,373,1041,331.4,5.1,20.1,91,219,42,6,17,35,77,652,1.306944444,26,14,-9
17,Pittsburgh Steelers,16,24.6,393,1000,327.4,5.2,18.6,103,220,47,7,13,54,80,651,1.395138889,21,8,3
18,Tampa Bay Buccaneers,16,20.9,334,975,326.8,5.4,17.6,82,213,38,5,13,38,81,614,1.26875,18,12,15
19,Detroit Lions,16,21.6,346,965,322.9,5.4,18.9,62,190,33,4,10,40,100,676,1.154861111,35,14,-1
20,San Diego Chargers,16,25.8,412,980,315.2,5.1,17.4,84,214,39,6,10,60,94,761,1.252777778,17,8,24
21,Tennessee Titans,16,18.8,301,1037,311.7,4.8,19.1,89,217,41,2,11,18,101,773,1.328472222,32,17,0
22,Baltimore Ravens,16,17.2,275,1042,302,4.6,18.2,90,234,38,11,21,52,107,873,1.298611111,35,26,-17
23,Atlanta Falcons,16,16.2,259,987,301,4.9,15.5,86,237,36,7,19,37,105,891,1.196527778,18,9,4
24,St. Louis Rams,16,16.4,263,1026,297.5,4.6,17.6,81,223,36,7,20,35,94,794,1.255555556,25,9,-10
25,Oakland Raiders,16,17.7,283,1000,294.8,4.7,16.7,82,229,36,10,24,42,120,864,1.310416667,42,17,-11
26,New York Jets,16,16.8,268,1011,294.7,4.7,17.9,85,226,38,10,21,48,63,486,1.213194444,20,6,-4
27,Chicago Bears,16,20.9,334,1035,293.2,4.5,16.6,81,238,34,7,16,44,111,839,1.186805556,34,13,-1
28,Miami Dolphins,16,16.7,267,989,287.5,4.7,17.7,81,218,37,13,22,59,91,732,1.227083333,25,13,-7
29,Carolina Panthers,16,16.7,267,989,284.9,4.6,15.9,85,235,36,6,14,43,95,801,1.197222222,25,12,1
30,Buffalo Bills,16,15.8,252,919,277.1,4.8,15.5,65,195,33,8,18,44,78,633,1.202083333,20,7,9
31,Kansas City Chiefs,16,14.1,226,1001,276.8,4.4,15.9,79,232,34,13,18,72,101,697,1.251388889,22,13,-11
32,San Francisco 49ers,16,13.7,219,925,237.3,4.1,13.6,69,220,31,5,17,29,97,702,1.130555556,36,17,-12
