Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,New England Patriots,16,28.6,458,1070,394.2,5.9,24.3,82,202,41,8,13,62,95,835,1.275694444,13,4,6
2,New Orleans Saints,16,28,448,1000,391.2,6.3,20.8,73,194,38,12,15,80,105,962,1.297916667,19,10,7
3,Pittsburgh Steelers,16,25.4,406,1051,377.9,5.8,21.8,92,209,44,3,8,38,101,896,1.332638889,15,5,2
4,Los Angeles Chargers,16,22.2,355,1020,376.6,5.9,21.1,84,209,40,5,11,46,108,927,1.264583333,17,4,12
5,Kansas City Chiefs,16,25.9,415,985,375.4,6.1,20.1,78,199,39,3,10,30,118,1044,1.288194444,14,3,15
6,Jacksonville Jaguars,16,26.1,417,1078,365.9,5.4,20.8,85,227,37,10,13,77,112,936,1.346527778,24,10,10
7,Philadelphia Eagles,16,28.6,457,1073,365.8,5.5,21.1,96,230,42,17,26,65,116,962,1.361805556,25,11,11
8,Atlanta Falcons,16,22.1,353,984,364.8,5.9,20.6,88,197,45,4,13,31,102,918,1.243055556,17,6,-2
9,Tampa Bay Buccaneers,16,20.9,335,1034,363.5,5.6,22,85,196,43,4,8,50,104,795,1.238194444,27,13,-1
10,Los Angeles Rams,16,29.9,478,1000,361.5,5.8,19.4,88,214,41,5,12,42,107,922,1.254166667,29,14,7
11,Minnesota Vikings,16,23.9,382,1055,356.9,5.4,20.9,94,216,44,1,7,14,100,949,1.351388889,11,6,5
12,San Francisco 49ers,16,20.7,331,1058,349.2,5.3,20.1,91,234,39,8,18,44,123,988,1.219444444,14,8,-3
13,Detroit Lions,16,25.6,410,980,337.8,5.5,18.5,81,209,39,1,9,11,104,968,1.241666667,21,11,10
14,Dallas Cowboys,16,22.1,354,1005,331.9,5.3,19.6,87,203,43,10,19,53,97,939,1.258333333,11,9,-1
15,Seattle Seahawks,16,22.9,366,1007,330.4,5.2,18.7,79,212,37,5,9,56,148,1342,1.221527778,18,5,8
16,Washington Redskins,16,21.4,342,982,324.9,5.3,17.4,66,204,32,9,16,56,92,732,1.239583333,28,14,-4
17,Denver Broncos,16,18.1,289,1075,324.1,4.8,18.6,94,241,39,7,20,35,113,885,1.311111111,26,12,-17
17,Oakland Raiders,16,18.8,301,952,324.1,5.4,17.9,82,204,40,8,24,33,114,1009,1.203472222,33,14,-14
19,Carolina Panthers,16,22.7,363,1026,323.7,5,20,93,222,42,5,11,46,83,682,1.345138889,19,6,-1
20,Houston Texans,16,21.1,338,1027,320,5,19.6,76,209,36,5,10,50,124,1050,1.254861111,25,11,-12
21,New York Giants,16,15.4,246,1036,314.2,4.9,16.9,74,227,33,8,21,38,91,895,1.195833333,20,8,-3
22,Arizona Cardinals,16,18.4,295,1059,314.1,4.7,19.4,82,233,35,7,16,44,110,880,1.298611111,19,7,-4
23,Tennessee Titans,16,20.9,334,974,314,5.2,18.1,71,202,35,5,10,50,85,785,1.254166667,10,8,-4
24,Cleveland Browns,16,14.6,234,1008,308.9,4.9,18.1,73,216,34,12,23,52,110,924,1.175,25,13,-28
25,Miami Dolphins,16,17.6,281,995,307.7,4.9,17.8,64,202,32,7,24,29,137,1154,1.225694444,23,8,-14
26,Green Bay Packers,16,20,320,999,305.7,4.9,19.2,83,211,39,15,28,54,96,789,1.214583333,14,7,-3
27,Baltimore Ravens,16,24.7,395,1054,305.4,4.6,19.4,76,223,34,10,16,62,91,749,1.286805556,19,4,17
28,New York Jets,16,18.6,298,984,305.2,5,16.8,81,228,36,7,13,54,119,1035,1.259027778,25,12,-4
29,Buffalo Bills,16,18.9,302,1010,302.6,4.8,17.4,101,241,42,2,15,13,98,872,1.180555556,17,6,9
30,Chicago Bears,16,16.5,264,934,287.4,4.9,16.7,71,205,35,7,18,39,115,943,1.206944444,24,10,0
31,Indianapolis Colts,16,16.4,263,994,284.6,4.6,16.7,87,228,38,8,17,47,92,779,1.236805556,20,6,5
32,Cincinnati Bengals,16,18.1,290,927,280.5,4.8,16.7,67,199,34,5,12,42,110,1027,1.1375,22,11,-9
