Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,New Orleans Saints,16,28.9,463,1047,410.7,6.3,22.1,97,200,48,10,18,56,86,797,1.269444444,18,8,-4
2,Denver Broncos,16,23.1,370,1019,395.8,6.2,22.1,95,200,48,4,10,40,77,739,1.197222222,18,12,-17
3,Houston Texans,16,22.9,366,1019,382.1,6,21.2,83,197,42,14,23,61,80,664,1.336805556,28,12,-10
4,Arizona Cardinals,16,26.7,427,998,365.8,5.9,20.5,83,198,42,8,16,50,107,781,1.257638889,27,15,0
5,New England Patriots,16,25.6,410,1095,365.4,5.3,22.2,96,222,43,17,22,77,57,501,1.350694444,17,10,1
6,Atlanta Falcons,16,24.4,391,1011,361.2,5.7,19.6,95,219,43,6,13,46,71,591,1.298611111,18,10,-3
7,New York Giants,16,26.7,427,1021,355.9,5.6,21.1,88,204,43,5,11,46,102,821,1.388194444,18,3,9
8,Green Bay Packers,16,26.2,419,1012,351.1,5.6,18.7,99,224,44,8,18,44,110,984,1.317361111,25,8,7
9,Philadelphia Eagles,16,26,416,1056,350.5,5.3,19.9,93,225,41,4,9,44,74,635,1.308333333,16,10,3
10,Carolina Panthers,16,25.9,414,938,349.7,6,17.9,78,197,40,3,8,38,94,637,1.227777778,12,7,6
11,San Diego Chargers,16,27.4,439,924,349,6,18.8,89,194,46,8,11,73,95,748,1.203472222,18,9,4
12,Miami Dolphins,16,21.6,345,965,345.6,5.7,19.2,71,192,37,10,15,67,81,669,1.29375,18,6,17
13,Dallas Cowboys,16,22.6,362,979,344.5,5.6,18.2,91,212,43,7,12,58,119,952,1.251388889,29,13,-11
14,Tampa Bay Buccaneers,16,22.6,361,1045,341,5.2,18.6,88,229,38,10,18,56,95,834,1.343055556,21,13,4
15,Indianapolis Colts,16,23.6,377,969,335.5,5.5,20.1,101,201,50,11,16,69,86,619,1.19375,13,5,9
16,New York Jets,16,25.3,405,981,331.7,5.4,19.2,81,197,41,9,16,56,77,569,1.295833333,22,8,-1
17,Minnesota Vikings,16,23.7,379,1014,330.9,5.2,18.2,86,218,39,9,18,50,90,692,1.304861111,31,14,-6
18,Baltimore Ravens,16,24.1,385,1058,324,4.9,18.8,95,232,41,7,11,64,103,785,1.390277778,28,9,13
19,Washington Redskins,16,16.6,265,1026,320,5,18.4,76,216,35,10,16,62,83,644,1.313194444,20,12,0
20,Jacksonville Jaguars,16,18.9,302,1005,319.1,5.1,19.5,87,213,41,14,24,58,104,813,1.311805556,23,11,-7
21,Tennessee Titans,16,23.4,375,973,313.6,5.2,16.8,78,216,36,5,11,46,108,855,1.221527778,18,8,14
22,Pittsburgh Steelers,16,21.7,347,1015,311.9,4.9,18.1,92,224,41,3,12,25,95,812,1.320138889,28,10,4
23,San Francisco 49ers,16,21.2,339,961,311.1,5.2,17.9,75,198,38,5,11,46,98,732,1.229861111,36,16,-17
24,Kansas City Chiefs,16,18.2,291,957,308.7,5.2,17.1,82,214,38,7,18,39,78,645,1.169444444,20,8,5
25,Buffalo Bills,16,21,336,956,305.1,5.1,17.9,81,203,40,7,16,44,71,538,1.252777778,33,15,-8
26,Chicago Bears,16,23.4,375,991,295.9,4.8,16.5,78,219,36,6,14,43,78,610,1.191666667,19,13,5
27,St. Louis Rams,16,14.5,232,982,287.2,4.7,15.6,69,216,32,11,23,48,97,718,1.230555556,18,12,-5
28,Seattle Seahawks,16,18.4,294,927,274.1,4.7,16.6,62,198,31,10,12,83,79,601,1.109722222,20,12,-7
29,Oakland Raiders,16,16.4,263,919,272.2,4.7,14.1,61,214,28,9,21,43,109,823,1.188194444,28,12,1
30,Detroit Lions,16,16.8,268,913,268.2,4.7,14.6,59,205,29,10,20,50,88,729,1.124305556,31,10,-9
31,Cleveland Browns,16,14.5,232,921,249.1,4.3,14.6,72,212,34,6,14,43,100,669,1.147916667,17,6,5
32,Cincinnati Bengals,16,12.8,204,984,245.4,4,15.3,82,236,35,7,14,50,75,591,1.220833333,27,11,-2
