Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,St. Louis Rams,16,31.4,503,1007,418.1,6.6,22.3,96,192,50,8,11,73,107,847,1.334027778,38,22,-10
2,Indianapolis Colts,16,25.8,413,1025,372.2,5.8,21.4,85,205,42,5,8,62,76,730,1.272222222,20,15,-13
3,Pittsburgh Steelers,16,22,352,1065,367.9,5.5,19.6,106,232,46,6,12,50,86,737,1.447222222,28,9,7
4,San Francisco 49ers,16,25.6,409,1041,355.6,5.5,20.5,95,213,45,9,17,53,82,669,1.35,19,7,15
5,Kansas City Chiefs,16,20,320,1015,354.6,5.6,20.2,70,195,36,5,16,31,68,602,1.225,19,9,-7
6,Green Bay Packers,16,24.4,390,942,341.4,5.8,17.6,72,197,36,3,6,50,80,633,1.230555556,28,12,12
7,Oakland Raiders,16,24.9,399,1030,335.1,5.2,19.8,81,209,39,8,13,62,107,897,1.299305556,27,16,-1
8,Tennessee Titans,16,21,336,1026,334.5,5.2,18,98,233,42,2,15,13,119,1025,1.315277778,18,11,-4
9,New York Giants,16,18.4,294,1028,333.4,5.2,18.4,78,220,36,6,13,46,97,905,1.247916667,41,13,-1
10,New Orleans Saints,16,20.8,333,1031,326.6,5.1,18.4,89,227,39,6,18,33,119,1025,1.225,35,13,-5
11,San Diego Chargers,16,20.8,332,1010,325,5.1,18.1,79,221,36,3,4,75,97,777,1.273611111,26,11,2
12,Minnesota Vikings,16,18.1,290,978,324.1,5.3,18,88,210,42,8,18,44,109,835,1.215972222,35,16,-21
13,Buffalo Bills,16,16.6,265,1009,321.1,5.1,17.9,75,217,35,12,24,50,123,954,1.215972222,26,13,-14
14,Baltimore Ravens,16,18.9,303,1080,320.2,4.7,18.7,82,230,36,3,13,23,89,728,1.235416667,31,16,-8
15,Atlanta Falcons,16,18.2,291,988,316.9,5.1,17.5,89,217,41,5,17,29,90,754,1.321527778,27,11,2
16,Detroit Lions,16,16.9,270,1026,312.1,4.9,18.1,76,222,34,12,25,48,116,1081,1.190277778,24,14,-16
17,Philadelphia Eagles,16,21.4,343,974,307.7,5.1,16,68,220,31,9,13,69,100,768,1.203472222,20,10,9
18,Arizona Cardinals,16,18.4,295,955,306.1,5.1,17.3,57,196,29,10,20,50,72,620,1.165277778,26,13,-3
19,New England Patriots,16,23.2,371,1001,305.1,4.9,18.2,91,221,41,7,17,41,92,802,1.296527778,29,13,7
20,Jacksonville Jaguars,16,18.4,294,969,302.5,5,18.1,70,198,35,3,12,25,97,710,1.167361111,29,13,-3
21,Miami Dolphins,16,21.5,344,953,301.3,5.1,16.4,89,215,41,9,14,64,107,914,1.252777778,26,19,-10
22,Denver Broncos,16,21.2,340,1034,301.1,4.7,19,83,219,38,4,10,40,95,917,1.320138889,24,8,10
23,Cincinnati Bengals,16,14.1,226,1071,300,4.5,18.4,93,243,38,6,23,26,103,870,1.240277778,28,11,-9
24,New York Jets,16,19.2,308,928,299.7,5.2,17.1,76,200,38,6,12,50,62,507,1.217361111,22,7,18
25,Seattle Seahawks,16,18.8,301,980,298.2,4.9,17.1,77,213,36,8,17,47,66,579,1.252083333,24,9,6
26,Chicago Bears,16,21.1,338,1020,293.4,4.6,17.3,74,225,33,10,21,48,63,622,1.278472222,21,8,13
26,Tampa Bay Buccaneers,16,20.2,324,1046,293.4,4.5,18.6,80,228,35,11,17,65,77,672,1.330555556,20,10,17
28,Washington Redskins,16,16,256,960,277.2,4.6,15.1,79,223,35,4,13,31,104,828,1.263194444,33,15,6
29,Dallas Cowboys,16,15.4,246,952,275.1,4.6,15.4,71,215,33,4,16,25,91,744,1.268055556,25,14,-9
30,Carolina Panthers,16,15.8,253,965,265.9,4.4,14.8,67,219,31,5,21,24,87,747,1.154166667,33,13,1
31,Cleveland Browns,16,17.8,285,934,259.5,4.4,14.9,68,210,32,6,12,50,94,825,1.188194444,24,12,9
