Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,Denver Broncos,16,37.9,606,1156,457.3,6.3,27.2,95,205,46,8,9,89,117,1000,1.271527778,27,16,0
2,Philadelphia Eagles,16,27.6,442,1054,417.2,6.3,22.2,83,213,39,7,14,50,95,846,1.1,19,10,12
3,Green Bay Packers,16,26.1,417,1074,400.2,6,21.9,89,216,41,9,13,69,86,801,1.286805556,19,9,-3
4,New Orleans Saints,16,25.9,414,1079,399.4,5.9,22.4,97,221,44,9,19,47,95,817,1.361805556,12,7,0
5,San Diego Chargers,16,24.8,396,1060,393.3,5.9,23.3,101,206,49,5,6,83,95,765,1.399305556,14,10,-4
6,Detroit Lions,16,24.7,395,1102,392.1,5.7,21.9,95,221,43,5,14,36,110,925,1.348611111,28,15,-12
7,New England Patriots,16,27.8,444,1138,384.5,5.4,23.6,83,221,38,7,15,47,69,625,1.264583333,24,9,9
8,Chicago Bears,16,27.8,445,1013,381.8,6,21.5,83,197,42,8,13,62,85,708,1.293055556,21,10,5
9,Washington Redskins,16,20.9,334,1107,369.7,5.3,20.6,95,235,40,6,20,30,99,802,1.286805556,30,15,-8
10,Cincinnati Bengals,16,26.9,430,1097,368.2,5.4,20.6,92,225,41,12,21,57,102,1000,1.368055556,20,10,1
11,Houston Texans,16,17.2,276,1089,347.2,5.1,19.2,83,231,36,6,17,35,112,1138,1.313194444,21,9,-20
12,Arizona Cardinals,16,23.7,379,1037,346.4,5.3,20.6,74,210,35,5,9,56,97,744,1.291666667,22,9,-1
13,Minnesota Vikings,16,24.4,391,1013,344.2,5.4,19.3,78,214,36,10,19,53,70,695,1.186111111,23,13,-12
14,Atlanta Falcons,16,22.1,353,1024,343.1,5.4,20.6,89,207,43,6,14,43,91,788,1.263888889,17,11,-7
15,Indianapolis Colts,16,24.4,391,1023,341.8,5.3,19.9,80,213,38,3,10,30,66,576,1.236805556,14,4,13
16,Dallas Cowboys,16,27.4,439,957,341.1,5.7,20.3,63,180,35,4,6,67,102,867,1.209722222,18,8,8
17,Cleveland Browns,16,19.2,308,1078,339.4,5,18.8,83,237,35,14,31,45,104,920,1.195138889,17,9,-8
18,Seattle Seahawks,16,26.1,417,973,339,5.6,19.2,76,204,37,6,11,54,128,1183,1.272222222,26,10,20
19,Buffalo Bills,16,21.2,339,1116,338.1,4.8,18.8,83,244,34,4,14,29,110,952,1.196527778,32,12,3
20,Pittsburgh Steelers,16,23.7,379,1023,337.5,5.3,19.5,82,216,38,9,15,60,80,677,1.286805556,16,10,-4
21,Kansas City Chiefs,16,26.9,430,1029,337.2,5.2,20.2,74,213,35,4,11,36,101,774,1.295833333,21,10,18
22,Tennessee Titans,16,22.6,362,1032,336.9,5.2,19.4,94,227,41,11,17,65,101,900,1.261805556,27,9,0
23,Oakland Raiders,16,20.1,322,1000,333.8,5.3,17.2,78,223,35,7,12,58,116,912,1.245833333,27,11,-9
24,San Francisco 49ers,16,25.4,406,961,323.8,5.4,17.9,77,211,36,7,11,64,103,845,1.273611111,20,10,12
25,New York Jets,16,18.1,290,1020,318.1,5,17.5,90,231,39,1,8,12,108,837,1.259027778,15,7,-14
26,Carolina Panthers,16,22.9,366,999,316.8,5.1,19.9,91,208,44,10,13,77,80,671,1.329166667,12,6,11
27,Miami Dolphins,16,19.8,317,1001,312.9,5,17.4,76,217,35,3,12,25,70,598,1.195833333,16,7,-2
28,New York Giants,16,18.4,294,988,307.5,5,17.5,69,211,33,6,12,50,91,786,1.219444444,26,15,-15
29,Baltimore Ravens,16,20,320,1090,307.4,4.5,18.4,92,253,36,6,16,38,112,942,1.264583333,15,6,-5
30,St. Louis Rams,16,21.8,348,968,304.8,5,17.6,73,212,34,6,18,33,123,1009,1.211805556,20,10,8
31,Jacksonville Jaguars,16,15.4,247,1020,293.8,4.6,16.9,70,225,31,13,30,43,96,797,1.140277778,18,6,-6
32,Tampa Bay Buccaneers,16,18,288,981,277,4.5,16.8,69,221,31,8,22,36,121,1136,1.233333333,18,9,10
