Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,New England Patriots,16,34.8,557,1191,427.9,5.7,27.8,110,226,49,8,12,67,97,840,1.288888889,14,7,25
2,New Orleans Saints,16,28.8,461,1067,410.9,6.2,22,91,207,44,8,14,57,104,911,1.207638889,13,5,2
3,Detroit Lions,16,23.2,372,1160,408.8,5.6,23.9,97,228,42,6,15,40,103,944,1.336805556,24,16,-16
4,Denver Broncos,16,30.1,481,1090,397.9,5.8,23.8,96,213,45,3,5,60,100,805,1.302777778,22,14,-1
5,Washington Redskins,16,27.2,436,994,383.2,6.2,21.3,68,190,36,12,17,71,116,985,1.3,26,6,17
6,Dallas Cowboys,16,23.5,376,1049,374.6,5.7,21.1,93,212,44,8,11,73,117,853,1.292361111,20,10,-13
7,Houston Texans,16,26,416,1090,372.1,5.5,21.3,83,221,38,4,7,57,108,873,1.406944444,12,4,12
8,Atlanta Falcons,16,26.2,419,1021,369.1,5.8,21.4,92,204,45,2,8,25,55,415,1.286111111,9,4,13
9,Tampa Bay Buccaneers,16,24.3,389,1008,363.8,5.8,18.8,76,212,36,7,17,41,101,819,1.263194444,16,6,3
10,Indianapolis Colts,16,22.3,357,1109,362.4,5.2,22.5,98,229,43,7,8,88,94,801,1.281944444,21,9,-12
11,San Francisco 49ers,16,24.8,397,969,361.8,6,20.1,68,194,35,8,12,67,109,960,1.323611111,26,8,9
12,Carolina Panthers,16,22.3,357,988,360.7,5.8,20.5,88,204,43,3,9,33,98,835,1.24375,22,10,1
13,Green Bay Packers,16,27.1,433,1042,359.4,5.5,21.3,90,213,42,7,13,54,103,923,1.268055556,16,8,7
14,New York Giants,16,26.8,429,968,355.4,5.9,20.4,78,192,41,5,10,50,72,578,1.215277778,13,6,14
15,Philadelphia Eagles,16,17.5,280,1079,354.1,5.3,20.8,83,222,37,14,24,58,98,813,1.238888889,37,22,-24
16,Baltimore Ravens,16,24.9,398,1042,352.5,5.4,19.6,80,217,37,6,14,43,121,1127,1.194444444,14,5,9
17,Seattle Seahawks,16,25.8,412,974,350.6,5.8,19.4,80,199,40,11,18,61,110,890,1.326388889,16,8,13
18,Oakland Raiders,16,18.1,290,1032,344,5.3,18.8,77,220,35,4,16,25,108,939,1.229166667,22,10,-7
19,Buffalo Bills,16,21.5,344,983,342.9,5.6,18.8,77,198,39,5,8,62,104,871,1.257638889,23,17,-13
20,Minnesota Vikings,16,23.7,379,1001,336.6,5.4,19.1,78,210,37,7,11,64,90,830,1.197222222,21,11,-1
21,Pittsburgh Steelers,16,21,336,1023,332.8,5.2,19.2,94,224,42,6,13,46,92,938,1.340972222,33,16,-10
22,Cincinnati Bengals,16,24.4,391,1016,332.7,5.2,18.2,74,217,34,11,16,69,99,857,1.268055556,19,10,4
23,St. Louis Rams,16,18.7,299,1002,329,5.3,17.9,67,209,32,13,24,54,130,978,1.240972222,24,8,-1
24,Kansas City Chiefs,16,13.2,211,1015,319.2,5,17.9,70,212,33,7,15,47,92,733,1.263888889,26,17,-24
25,Cleveland Browns,16,18.9,302,998,314.2,5,17.4,67,218,31,7,16,44,113,1005,1.176388889,22,8,3
26,Tennessee Titans,16,20.6,330,957,313.1,5.2,16.2,83,217,38,5,15,33,106,847,1.153472222,21,12,-4
27,Miami Dolphins,16,18,288,981,311.5,5.1,18,78,207,38,5,15,33,82,724,28:60,25,13,-10
28,Chicago Bears,16,23.4,375,999,310.6,5,18.2,80,219,36,5,13,38,102,811,1.325,20,8,20
29,Jacksonville Jaguars,16,15.9,255,994,299.2,4.8,16.8,64,216,30,8,26,31,101,955,1.16875,20,9,-3
30,New York Jets,16,17.6,281,1034,299.2,4.6,18.7,80,217,37,7,14,50,83,708,1.268055556,32,18,-14
31,San Diego Chargers,16,21.9,350,988,297.2,4.8,18.3,82,217,38,6,11,54,103,796,1.317361111,24,11,2
32,Arizona Cardinals,16,15.6,250,1018,263.1,4.1,15.4,58,230,25,10,24,42,102,857,1.221527778,25,13,-1
