Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,Minnesota Vikings,16,26,416,1055,393.4,6,21,102,219,47,8,20,40,127,1029,1.369444444,31,11,11
2,Kansas City Chiefs,16,30.2,484,1003,369.4,5.9,21.8,84,201,42,6,10,60,79,698,1.232638889,13,6,19
3,Indianapolis Colts,16,27.9,447,1041,367.1,5.6,21.8,91,217,42,11,17,65,92,662,1.310416667,25,10,10
4,Green Bay Packers,16,27.6,442,999,362.4,5.8,19.7,85,207,41,4,7,57,88,699,1.294444444,19,11,0
5,San Francisco 49ers,16,24,384,1038,355.4,5.5,19.6,86,215,40,5,19,26,104,807,1.297916667,24,10,12
6,Seattle Seahawks,16,25.2,404,1017,351.7,5.5,21.1,96,205,47,2,7,29,91,777,1.2,23,13,-1
7,Denver Broncos,16,23.8,381,1047,349.9,5.3,20.9,82,211,39,3,13,23,107,922,1.419444444,24,6,-4
8,Tennessee Titans,16,27.2,435,1013,343.8,5.4,19.4,86,211,41,6,14,43,110,887,1.369444444,24,12,13
9,St. Louis Rams,16,27.9,447,1054,341.1,5.2,20.9,92,216,43,7,15,47,92,667,1.3375,33,16,7
10,Tampa Bay Buccaneers,16,18.8,301,1036,340.8,5.3,19.2,78,220,36,8,15,53,117,1104,1.347916667,23,9,2
11,New Orleans Saints,16,21.2,340,1019,339.9,5.3,18.9,106,229,46,5,19,26,103,878,1.274305556,33,20,-1
12,Jacksonville Jaguars,16,17.2,276,1024,334.9,5.2,19.1,80,216,37,13,26,50,108,895,1.25625,27,14,-4
13,Cincinnati Bengals,16,21.6,346,1038,333.1,5.1,19.6,102,228,45,5,11,46,107,846,1.290972222,16,7,2
14,San Diego Chargers,16,19.6,313,971,322.9,5.3,18.1,62,197,32,10,19,53,126,1016,1.172916667,20,12,-11
15,Dallas Cowboys,16,18.1,289,1062,322.6,4.9,17.9,88,241,36,4,12,33,98,837,1.370138889,26,8,-4
16,Carolina Panthers,16,20.3,325,1008,321.3,5.1,17.8,78,219,36,6,11,54,116,966,1.299305556,33,15,-5
17,New England Patriots,16,21.8,348,1042,314.9,4.8,18.4,84,227,37,6,14,43,111,998,1.315972222,25,11,17
18,Philadelphia Eagles,16,23.4,374,944,314.7,5.3,18.9,69,190,36,3,7,43,96,817,1.179861111,21,11,4
19,New York Jets,16,17.7,283,936,309.4,5.3,17.1,82,206,40,6,13,46,69,550,1.185416667,18,6,0
20,New York Giants,16,15.2,243,1047,308.9,4.7,18.8,73,218,34,2,17,12,127,1090,1.203472222,35,18,-16
21,Baltimore Ravens,16,24.4,391,1009,308.1,4.9,16.2,72,226,32,7,11,64,126,970,1.283333333,37,19,3
22,Pittsburgh Steelers,16,18.8,300,1020,299.5,4.7,17.2,82,227,36,11,22,50,111,1005,1.284027778,24,11,-3
23,Washington Redskins,16,17.9,287,991,291.2,4.7,17,73,215,34,8,14,57,124,1038,1.202777778,21,12,2
24,Miami Dolphins,16,19.4,311,968,288.1,4.8,16.6,67,205,33,5,10,50,103,913,1.261805556,26,15,2
25,Oakland Raiders,16,16.9,270,987,285.8,4.6,16.1,66,217,30,14,25,56,134,1120,1.172222222,25,12,-1
26,Cleveland Browns,16,15.9,254,961,281.5,4.7,17.2,74,202,37,6,18,33,98,767,1.229861111,32,15,-11
27,Arizona Cardinals,16,14.1,225,981,280.6,4.6,16,83,222,37,10,22,46,98,761,1.249305556,29,14,-13
28,Chicago Bears,16,17.7,283,1001,273.8,4.4,16.5,77,228,34,15,23,65,92,806,1.235416667,25,9,-9
29,Atlanta Falcons,16,18.7,299,930,272.3,4.7,15.8,58,194,30,6,11,54,90,790,1.157638889,22,10,0
30,Buffalo Bills,16,15.2,243,980,271.8,4.4,16.8,67,212,32,13,25,52,106,891,1.240972222,36,17,-16
31,Houston Texans,16,15.9,255,896,269.1,4.8,14.8,63,204,31,9,14,64,121,961,1.16875,18,9,-5
32,Detroit Lions,16,16.9,270,975,266.4,4.4,15.6,80,228,35,8,20,40,107,859,1.18125,18,4,0
