Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,New Orleans Saints,16,34.2,547,1117,467.1,6.7,26,118,208,57,3,10,30,99,851,1.332638889,6,5,-3
2,New England Patriots,16,32.1,513,1082,428,6.3,24.9,89,194,46,7,11,64,87,815,1.199305556,13,5,17
3,Green Bay Packers,16,35,560,988,405.1,6.6,22.1,91,189,48,4,8,50,76,591,1.270138889,15,6,24
4,Philadelphia Eagles,16,24.8,396,1036,399.1,6.2,22.2,85,205,42,7,15,47,107,853,1.305555556,23,13,-14
5,Detroit Lions,16,29.6,474,1058,396.1,6,21.8,76,212,36,8,14,57,128,1075,1.25625,20,7,11
6,San Diego Chargers,16,25.4,406,1048,393.1,6,22.4,103,211,49,4,11,36,91,753,1.352083333,20,8,-7
7,Carolina Panthers,16,25.4,406,999,389.8,6.2,21.6,75,185,40,6,10,60,113,1013,1.261111111,13,6,1
8,New York Giants,16,24.6,394,1028,385.1,6,20.7,77,206,37,4,13,31,94,795,1.229166667,18,8,7
9,Oakland Raiders,16,22.4,359,1015,379.5,6,20.5,71,199,36,7,13,54,163,1358,1.246527778,16,7,-4
10,Atlanta Falcons,16,25.1,402,1073,376.6,5.6,21.8,99,224,44,4,13,31,93,769,1.345833333,12,8,8
11,Dallas Cowboys,16,23.1,369,1017,375.5,5.9,20.4,78,198,39,5,10,50,114,816,1.309027778,24,9,4
12,Pittsburgh Steelers,16,20.3,325,1015,372.3,5.9,21.3,90,196,46,3,8,38,101,854,1.35625,16,13,-13
13,Houston Texans,16,23.8,381,1046,372.1,5.7,20.1,93,224,42,3,11,27,99,852,1.361111111,20,11,7
14,Buffalo Bills,16,23.2,372,992,351.5,5.7,19.6,62,191,32,9,22,41,86,743,1.257638889,16,5,1
15,Baltimore Ravens,16,23.6,378,1036,338.7,5.2,19.5,97,229,42,4,7,57,92,742,1.274305556,24,12,2
16,Washington Redskins,16,18,288,1032,336.7,5.2,19.5,81,219,37,4,13,31,91,897,1.264583333,25,11,-14
17,Tennessee Titans,16,20.3,325,984,335.1,5.4,17.6,80,218,37,10,14,71,104,960,1.1625,17,8,1
18,Minnesota Vikings,16,21.2,340,1007,329.7,5.2,18.6,83,216,38,7,18,39,109,908,1.196527778,20,9,-3
19,Arizona Cardinals,16,19.5,312,993,324.5,5.2,17.9,66,205,32,9,15,60,106,1004,1.196527778,24,9,-13
20,Cincinnati Bengals,16,21.5,344,1015,319.9,5,17.8,80,219,36,4,10,40,99,874,1.263194444,17,8,0
21,Tampa Bay Buccaneers,16,17.9,287,966,319.2,5.3,17.3,76,206,37,8,21,38,123,1007,1.213194444,30,16,-16
22,Miami Dolphins,16,20.6,329,990,317.4,5.1,17.9,69,207,33,6,16,38,85,779,1.275694444,28,12,-6
23,Denver Broncos,16,19.3,309,1017,316.6,5,17.9,66,214,31,3,13,23,101,842,1.238194444,30,17,-12
24,Chicago Bears,16,22.1,353,978,314.1,5.1,16.9,66,203,32,2,8,25,104,800,1.267361111,26,9,2
25,New York Jets,16,23.6,377,1030,311.8,4.8,18.8,74,213,35,4,11,36,102,849,1.284027778,25,16,-3
26,San Francisco 49ers,16,23.8,380,993,310.9,5,17.6,65,221,29,9,14,64,113,1014,1.338888889,14,5,28
27,Kansas City Chiefs,16,13.2,212,1021,310.8,4.9,17.3,81,225,36,7,17,41,110,916,1.230555556,17,10,-2
28,Seattle Seahawks,16,20.1,321,1003,303.8,4.8,16.6,77,228,34,7,15,47,138,1047,1.182638889,22,9,8
29,Cleveland Browns,16,13.6,218,1024,288.8,4.5,17.4,92,238,39,10,18,56,95,847,1.21875,22,6,1
30,Indianapolis Colts,16,15.2,243,951,286.8,4.8,16.1,74,214,35,4,11,36,76,549,1.092361111,24,15,-12
31,St. Louis Rams,16,12.1,193,1013,283.6,4.5,16.7,64,228,28,8,23,35,112,899,1.174305556,27,13,-5
32,Jacksonville Jaguars,16,15.2,243,1002,259.3,4.1,15.7,81,241,34,6,17,35,77,680,1.251388889,27,8,5
