Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,Oakland Raiders,16,28.1,450,1069,389.8,5.8,22.9,92,203,45,7,10,70,129,1094,1.323611111,24,9,12
2,Minnesota Vikings,16,24.4,390,1080,387,5.7,21.9,92,209,44,8,17,47,137,1139,1.329861111,40,18,-18
3,Denver Broncos,16,24.5,392,1057,380.6,5.8,22.3,77,202,38,16,23,70,104,877,1.297222222,21,7,-5
4,Kansas City Chiefs,16,29.2,467,965,375,6.2,21.4,77,185,42,6,10,60,75,700,1.215972222,7,2,16
5,Pittsburgh Steelers,16,24.4,390,1097,372,5.4,21.4,94,223,42,14,23,61,90,712,1.397222222,26,14,0
6,New York Giants,16,20,320,1059,364.1,5.5,20.2,84,213,39,5,14,36,113,955,1.323611111,31,13,-2
7,Seattle Seahawks,16,22.2,355,1050,363.6,5.5,21.7,93,216,43,6,21,29,100,792,1.230555556,23,12,2
8,San Francisco 49ers,16,22.9,367,1082,356.3,5.3,21.4,127,243,52,8,13,62,87,725,1.360416667,15,7,10
9,Indianapolis Colts,16,21.8,349,1048,351,5.4,20.2,102,227,45,13,17,76,91,730,1.293055556,26,13,-5
10,Philadelphia Eagles,16,25.9,415,1073,350.2,5.2,19.4,90,231,39,8,16,50,111,897,1.305555556,28,13,14
11,Buffalo Bills,16,23.7,379,1054,349.4,5.3,22.2,90,212,42,7,12,58,112,1031,1.305555556,29,16,-12
12,Green Bay Packers,16,24.9,398,1058,347.5,5.3,19.9,87,225,39,7,13,54,108,913,1.340277778,28,12,17
13,St. Louis Rams,16,19.8,316,1024,347.4,5.4,19.7,81,206,39,6,10,60,120,919,1.276388889,29,18,-19
14,Atlanta Falcons,16,25.1,402,1038,345.9,5.3,19.8,90,215,42,6,10,60,105,931,1.3875,24,15,12
15,Miami Dolphins,16,23.6,378,1010,337,5.3,19.9,76,199,38,3,10,30,103,859,1.311111111,28,15,0
16,San Diego Chargers,16,20.8,333,1028,332.8,5.2,19.6,78,210,37,4,12,33,100,805,1.295138889,16,8,3
17,Tennessee Titans,16,22.9,367,1032,329.5,5.1,19.5,94,216,44,9,16,56,112,891,1.379166667,20,10,4
18,Cincinnati Bengals,16,17.4,279,1054,325.4,4.9,19.7,87,223,39,11,30,37,99,884,1.204166667,26,13,-15
19,New Orleans Saints,16,27,432,1001,325.3,5.2,18.2,92,224,41,8,13,62,119,911,1.2125,29,15,8
20,Washington Redskins,16,19.2,307,1039,321.4,4.9,18.9,88,221,40,13,25,52,116,968,1.233333333,34,20,-14
21,New England Patriots,16,23.8,381,1031,317.8,4.9,19,94,220,43,9,20,45,108,895,1.224305556,24,10,5
22,New York Jets,16,22.4,359,917,314.8,5.5,18.8,76,188,40,4,12,33,79,685,1.203472222,16,9,4
23,Cleveland Browns,16,21.5,344,993,314.2,5.1,17.4,90,222,40,8,10,80,107,845,1.254166667,18,9,-2
24,Tampa Bay Buccaneers,16,21.6,346,1022,312.6,4.9,17.9,79,222,36,6,9,67,103,789,1.338194444,24,11,17
25,Jacksonville Jaguars,16,20.5,328,959,303.2,5.1,17.2,71,207,34,18,26,69,89,685,1.19375,12,6,12
26,Baltimore Ravens,16,19.8,316,947,289.9,4.9,16.3,81,215,38,7,13,54,101,846,1.157638889,34,18,-1
27,Arizona Cardinals,16,16.4,262,1003,285.2,4.5,17.1,99,230,43,4,13,31,76,617,1.215277778,26,13,-10
28,Detroit Lions,16,19.1,306,955,279.4,4.7,15.1,64,216,30,8,20,40,104,916,1.088888889,14,6,-7
29,Chicago Bears,16,17.6,281,969,274.7,4.5,16.2,71,210,34,10,21,48,95,864,1.169444444,29,17,-7
30,Dallas Cowboys,16,13.6,217,948,273.4,4.6,14.8,50,208,24,4,12,33,105,974,1.184027778,33,18,-4
31,Carolina Panthers,16,16.1,258,960,267.5,4.5,14.9,64,224,29,4,12,33,94,785,1.222222222,28,18,-7
32,Houston Texans,16,13.3,213,947,223.2,3.8,13,59,229,26,5,14,36,136,1011,1.170833333,34,14,-8
