Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,New Orleans Saints,16,31.9,510,1032,403.8,6.3,21.8,88,197,45,6,15,40,89,787,1.316666667,25,16,11
2,Dallas Cowboys,16,22.6,361,1020,399.4,6.3,20.9,82,202,41,4,11,36,115,892,1.345138889,20,10,2
3,New England Patriots,16,26.7,427,1076,397.3,5.9,23.3,90,206,44,11,22,50,81,743,1.378472222,17,9,6
4,Houston Texans,16,24.2,388,1043,383.1,5.9,21.2,82,204,40,8,12,67,95,833,1.329166667,21,11,-1
5,Minnesota Vikings,16,29.4,470,1054,379.6,5.8,21.4,100,223,45,8,12,67,101,757,1.36875,19,11,6
6,Green Bay Packers,16,28.8,461,1042,379.1,5.8,20.9,103,219,47,3,9,33,118,1057,1.377083333,20,8,24
7,Pittsburgh Steelers,16,23,368,1014,371.3,5.9,20.7,80,203,39,8,12,67,85,769,1.369444444,21,11,-3
8,New York Giants,16,25.1,402,1017,366,5.8,20.2,90,210,43,9,15,60,95,802,1.320138889,30,17,-7
9,Indianapolis Colts,16,26,416,980,363.1,5.9,21.2,95,193,49,5,11,46,74,546,1.152777778,11,5,2
10,San Diego Chargers,16,28.4,454,972,360.1,5.9,20.6,83,187,44,5,10,50,78,570,1.248611111,14,7,8
11,Philadelphia Eagles,16,26.8,429,975,357.9,5.9,18.1,75,207,36,6,14,43,115,951,1.176388889,23,10,15
12,Tennessee Titans,16,22.1,354,990,351.4,5.7,18,89,214,42,12,22,54,98,821,1.195833333,27,16,-4
13,Baltimore Ravens,16,24.4,391,1014,351.2,5.5,20,89,214,42,6,13,46,115,1094,1.23125,19,9,10
14,Arizona Cardinals,16,23.4,375,985,344.4,5.6,19.8,69,190,36,5,9,56,108,886,1.244444444,32,18,-7
15,Denver Broncos,16,20.4,326,1032,341.4,5.3,19.1,78,215,36,7,18,39,93,800,1.258333333,15,10,7
16,Atlanta Falcons,16,22.7,363,1048,340.4,5.2,20.6,91,216,42,16,23,70,78,664,1.245833333,19,8,3
17,Miami Dolphins,16,22.5,360,1088,337.6,5,20.8,120,245,49,13,18,72,78,640,1.334027778,27,10,-8
18,Jacksonville Jaguars,16,18.1,290,1010,336.6,5.3,18.8,102,226,45,12,21,57,70,542,1.264583333,26,13,2
19,Carolina Panthers,16,19.7,315,1023,331.1,5.2,18.1,82,220,37,9,20,45,88,698,1.259027778,23,11,6
20,New York Jets,16,21.8,348,1030,321,5,17.5,86,232,37,15,20,75,88,677,1.338194444,24,9,1
21,Seattle Seahawks,16,17.5,280,1045,316.8,4.9,18.6,75,225,33,8,19,42,95,840,1.146527778,33,12,-8
22,Washington Redskins,16,16.6,266,970,312.5,5.2,17.5,86,216,40,7,22,32,85,679,1.209027778,30,12,-11
23,Chicago Bears,16,20.4,327,971,310.3,5.1,16.4,81,217,37,7,18,39,100,836,1.192361111,26,7,-6
24,Cincinnati Bengals,16,19.1,305,1011,309.1,4.9,18.4,93,229,41,10,14,71,114,863,1.353472222,24,12,0
25,Kansas City Chiefs,16,18.4,294,1019,303.2,4.8,16,62,227,27,14,29,48,84,667,1.165972222,31,10,1
26,Detroit Lions,16,16.4,262,1037,299,4.6,17.6,84,234,36,7,26,27,98,768,1.20625,25,9,-18
27,San Francisco 49ers,16,20.6,330,939,290.8,5,14.9,65,218,30,12,21,57,98,758,1.240277778,24,10,9
28,Tampa Bay Buccaneers,16,15.2,244,961,287.5,4.8,15.4,71,218,33,9,22,41,93,696,1.197222222,25,5,-5
29,St. Louis Rams,16,10.9,175,998,279.4,4.5,16.2,73,226,32,10,28,36,100,834,1.215277778,24,12,-13
30,Buffalo Bills,16,16.1,258,911,273.9,4.8,14.6,51,198,26,7,15,47,107,855,1.175,24,11,3
31,Oakland Raiders,16,12.3,197,944,266.1,4.5,14.6,63,213,30,10,21,48,117,920,1.179166667,30,15,-13
32,Cleveland Browns,16,15.3,245,971,260.2,4.3,14.8,76,233,33,10,15,67,77,678,1.204166667,21,13,-12
