Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,New Orleans Saints,16,25.1,401,1095,411.4,6,24.7,98,203,48,8,15,53,80,670,1.274305556,22,13,-13
2,Pittsburgh Steelers,16,27.2,436,1068,411.1,6.2,23.7,93,208,45,5,10,50,103,834,1.35,16,11,0
3,Indianapolis Colts,16,28.6,458,1105,406.6,5.9,23.2,89,217,41,6,15,40,105,848,1.329166667,31,15,-5
4,Denver Broncos,16,30.1,482,1067,402.9,6,22.5,94,213,44,6,13,46,120,1045,1.281944444,16,5,5
5,Philadelphia Eagles,16,29.6,474,1127,396.8,5.6,22.2,103,237,44,7,11,64,115,995,1.111111111,25,15,-8
6,Green Bay Packers,16,30.4,486,1001,386.1,6.2,22.2,93,197,47,4,10,40,92,775,1.272222222,19,7,14
7,Dallas Cowboys,16,29.2,467,1014,383.6,6.1,21.4,95,201,47,3,6,50,105,839,1.36875,22,14,6
8,Atlanta Falcons,16,23.8,381,1035,378.2,5.8,20.6,93,210,44,8,16,50,97,840,1.227777778,16,8,5
9,Seattle Seahawks,16,24.6,394,1021,375.8,5.9,20.5,90,212,42,3,11,27,130,1009,1.348611111,23,7,10
10,New York Giants,16,23.8,380,1086,367.2,5.4,21,101,235,43,5,16,31,101,896,1.280555556,21,14,-2
11,New England Patriots,16,29.2,468,1073,365.5,5.5,22.6,98,221,44,7,13,54,120,1080,1.234027778,13,4,12
12,Baltimore Ravens,16,25.6,409,1021,364.9,5.7,21.6,84,205,41,9,18,50,111,870,1.236111111,17,8,2
13,Washington Redskins,16,18.8,301,1006,358.6,5.7,19.9,62,197,32,4,16,25,120,1130,1.282638889,31,13,-12
14,Miami Dolphins,16,24.2,388,1040,350.1,5.4,22.6,80,200,40,7,19,37,81,635,1.255555556,27,11,2
15,Cincinnati Bengals,16,22.8,365,1018,348,5.5,19.6,84,211,40,7,13,54,102,812,1.272222222,20,9,0
16,Carolina Panthers,16,21.2,339,1060,346.7,5.2,21.7,93,222,42,6,10,60,83,756,1.345138889,25,11,3
17,Houston Texans,16,23.2,372,1062,344.6,5.2,19.6,91,235,39,10,17,59,94,834,1.296527778,19,9,12
18,San Diego Chargers,16,21.8,348,1009,341.6,5.4,20.4,97,215,45,5,11,46,111,967,1.290277778,16,5,-5
19,Detroit Lions,16,20.1,321,1045,340.8,5.2,19.4,86,223,39,10,20,50,118,989,1.320138889,21,8,7
20,San Francisco 49ers,16,19.1,306,1009,327.4,5.2,18.9,86,213,40,10,18,56,116,937,1.322222222,18,12,7
21,Chicago Bears,16,19.9,319,1005,327.1,5.2,20.1,78,207,38,13,28,46,113,997,1.259027778,19,10,-5
22,New York Jets,16,17.7,283,1052,326.6,5,18.1,91,234,39,9,16,56,109,932,1.292361111,25,9,-11
23,Cleveland Browns,16,18.7,299,1010,324.6,5.1,18.4,61,207,30,5,14,36,116,932,1.175694444,16,7,6
24,Arizona Cardinals,16,19.4,310,993,319.8,5.2,18.9,90,224,40,3,4,75,91,707,1.241666667,16,5,8
25,Kansas City Chiefs,16,22.1,353,962,318.8,5.3,19.3,80,201,40,5,12,42,88,681,29:60,22,11,-3
26,Buffalo Bills,16,21.4,343,1020,318.5,5,17.1,84,229,37,6,14,43,124,1031,1.239583333,22,10,7
27,Minnesota Vikings,16,20.3,325,981,315.5,5.1,18,82,211,39,6,12,50,100,836,1.202777778,11,2,-1
28,St. Louis Rams,16,20.2,324,957,314.7,5.3,18,68,192,35,4,10,40,123,1139,1.217361111,27,11,-2
29,Tennessee Titans,16,15.9,254,919,303.7,5.3,16.1,59,196,30,6,17,35,111,961,1.146527778,23,10,-10
30,Tampa Bay Buccaneers,16,17.3,277,936,292,5,16.4,76,203,37,4,12,33,118,939,1.136805556,29,13,-8
31,Jacksonville Jaguars,16,15.6,249,988,289.6,4.7,16.9,69,216,32,7,19,37,73,573,1.132638889,15,8,-6
32,Oakland Raiders,16,15.8,253,994,282.2,4.5,15.5,80,236,34,9,15,60,116,939,1.180555556,28,13,-15
