Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,Arizona Cardinals,16,30.6,489,1041,408.3,6.3,23.3,93,198,47,4,9,44,94,758,1.336111111,23,11,9
2,New Orleans Saints,16,25.5,408,1096,403.8,5.9,23.8,104,218,48,10,16,62,130,1112,1.30625,17,8,2
3,Pittsburgh Steelers,16,26.4,423,1011,395.4,6.3,20.7,75,193,39,4,12,33,94,868,1.238194444,16,7,2
4,Seattle Seahawks,16,26.4,423,1035,378.6,5.9,20.9,99,213,46,8,9,89,117,1007,1.343055556,18,8,7
5,Tampa Bay Buccaneers,16,21.4,342,1017,375.9,5.9,21,84,202,42,7,13,54,143,1195,1.208333333,26,13,-5
6,New England Patriots,16,29.1,465,1050,374.4,5.7,21.7,88,215,41,9,15,60,96,859,1.2625,14,7,7
7,Atlanta Falcons,16,21.2,339,1073,374.1,5.6,22.4,107,227,47,10,19,53,100,969,1.347222222,26,13,-7
8,New York Giants,16,26.2,420,1053,372,5.7,20.7,82,217,38,9,16,56,102,779,1.186805556,23,7,7
9,San Diego Chargers,16,20,320,1100,371.8,5.4,21.5,97,231,42,5,15,33,117,942,1.327083333,20,11,-4
10,New York Jets,16,24.2,387,1074,370.3,5.5,20.6,93,229,41,6,14,43,96,787,1.305555556,17,8,6
11,Carolina Panthers,16,31.2,500,1060,366.9,5.5,22.3,86,203,42,6,10,60,103,887,1.335416667,12,9,20
12,Philadelphia Eagles,16,23.6,377,1102,364.4,5.3,21.2,91,230,40,8,16,50,104,819,1.0875,26,13,-5
13,Buffalo Bills,16,23.7,379,1016,360.9,5.7,18.6,86,227,38,7,16,44,143,1249,1.304166667,28,10,6
14,Baltimore Ravens,16,20.5,328,1083,359.3,5.3,20.2,85,226,38,12,24,50,122,1153,1.272222222,13,7,-14
15,Cincinnati Bengals,16,26.2,419,1004,358,5.7,20.2,81,201,40,7,12,58,111,917,1.300694444,18,8,11
16,Denver Broncos,16,22.2,355,1056,355.5,5.4,19.6,79,224,35,7,14,50,115,1063,1.270833333,16,8,-4
17,Washington Redskins,16,24.2,388,1011,353.8,5.6,19.8,94,216,44,7,12,58,105,827,1.322916667,26,11,5
18,Jacksonville Jaguars,16,23.5,376,1012,348.8,5.5,19.6,72,205,35,8,15,53,105,880,1.161111111,25,10,-10
19,Houston Texans,16,21.2,339,1127,347.8,4.9,20.9,96,249,39,6,19,32,107,910,1.283333333,22,8,5
20,Detroit Lions,16,22.4,358,1030,346.7,5.4,21.1,75,203,37,7,14,50,104,930,1.3125,17,10,-6
21,Chicago Bears,16,20.9,335,1025,344.6,5.4,19.5,93,219,42,6,10,60,99,909,1.311805556,20,9,-4
22,Dallas Cowboys,16,17.2,275,969,335.1,5.5,19.2,66,191,35,8,16,50,112,879,1.296527778,18,11,-22
23,Green Bay Packers,16,23,368,1056,334.6,5.1,19.8,70,208,34,11,21,52,105,906,1.255555556,24,9,5
24,Oakland Raiders,16,22.4,359,1008,333.5,5.3,18.8,86,220,39,5,13,38,139,1102,1.231944444,27,10,1
25,Cleveland Browns,16,17.4,278,1042,331.9,5.1,19.2,95,227,42,10,24,42,120,1083,1.292361111,28,18,-9
26,Miami Dolphins,16,19.4,310,977,331.7,5.4,18.2,63,205,31,8,22,36,134,1090,1.140277778,23,7,-3
27,Kansas City Chiefs,16,25.3,405,955,331.2,5.5,18.9,76,199,38,6,9,67,104,878,1.288194444,16,8,14
28,Indianapolis Colts,16,20.8,333,1052,321.4,4.9,19.4,94,235,40,7,13,54,108,931,1.25625,19,11,-5
29,Minnesota Vikings,16,22.8,365,973,321.2,5.3,18.6,76,199,38,5,11,46,88,797,1.273611111,21,8,5
30,Tennessee Titans,16,18.7,299,976,311.8,5.1,18.6,64,201,32,7,15,47,93,779,1.232638889,25,16,-14
31,San Francisco 49ers,16,14.9,238,969,303.8,5,16.3,65,213,30,9,19,47,113,823,1.1125,21,5,-5
32,St. Louis Rams,16,17.5,280,920,297.6,5.2,15.1,52,201,26,4,13,31,122,1007,1.177083333,22,10,5
