,schedule_season,team_home,score_home,score_away,team_away
8673,2005,New England Patriots,30.0,20.0,Oakland Raiders
8674,2005,Baltimore Ravens,7.0,24.0,Indianapolis Colts
8675,2005,Buffalo Bills,22.0,7.0,Houston Texans
8676,2005,Carolina Panthers,20.0,23.0,New Orleans Saints
8677,2005,Cleveland Browns,13.0,27.0,Cincinnati Bengals
8678,2005,Detroit Lions,17.0,3.0,Green Bay Packers
8679,2005,Jacksonville Jaguars,26.0,14.0,Seattle Seahawks
8680,2005,Kansas City Chiefs,27.0,7.0,New York Jets
8681,2005,Miami Dolphins,34.0,10.0,Denver Broncos
8682,2005,Minnesota Vikings,13.0,24.0,Tampa Bay Buccaneers
8683,2005,New York Giants,42.0,19.0,Arizona Cardinals
8684,2005,Pittsburgh Steelers,34.0,7.0,Tennessee Titans
8685,2005,San Diego Chargers,24.0,28.0,Dallas Cowboys
8686,2005,San Francisco 49ers,28.0,25.0,St. Louis Rams
8687,2005,Washington Redskins,9.0,7.0,Chicago Bears
8688,2005,Atlanta Falcons,14.0,10.0,Philadelphia Eagles
8689,2005,Arizona Cardinals,12.0,17.0,St. Louis Rams
8690,2005,Carolina Panthers,27.0,17.0,New England Patriots
8691,2005,Chicago Bears,38.0,6.0,Detroit Lions
8692,2005,Cincinnati Bengals,37.0,8.0,Minnesota Vikings
8693,2005,Denver Broncos,20.0,17.0,San Diego Chargers
8694,2005,Green Bay Packers,24.0,26.0,Cleveland Browns
8695,2005,Houston Texans,7.0,27.0,Pittsburgh Steelers
8696,2005,Indianapolis Colts,10.0,3.0,Jacksonville Jaguars
8697,2005,New York Jets,17.0,7.0,Miami Dolphins
8698,2005,Oakland Raiders,17.0,23.0,Kansas City Chiefs
8699,2005,Philadelphia Eagles,42.0,3.0,San Francisco 49ers
8700,2005,Seattle Seahawks,21.0,18.0,Atlanta Falcons
8701,2005,Tampa Bay Buccaneers,19.0,3.0,Buffalo Bills
8702,2005,Tennessee Titans,25.0,10.0,Baltimore Ravens
8703,2005,Dallas Cowboys,13.0,14.0,Washington Redskins
8704,2005,New York Giants,27.0,10.0,New Orleans Saints
8705,2005,Buffalo Bills,16.0,24.0,Atlanta Falcons
8706,2005,Chicago Bears,7.0,24.0,Cincinnati Bengals
8707,2005,Green Bay Packers,16.0,17.0,Tampa Bay Buccaneers
8708,2005,Indianapolis Colts,13.0,6.0,Cleveland Browns
8709,2005,Miami Dolphins,27.0,24.0,Carolina Panthers
8710,2005,Minnesota Vikings,33.0,16.0,New Orleans Saints
8711,2005,New York Jets,20.0,26.0,Jacksonville Jaguars
8712,2005,Philadelphia Eagles,23.0,20.0,Oakland Raiders
8713,2005,Pittsburgh Steelers,20.0,23.0,New England Patriots
8714,2005,San Diego Chargers,45.0,23.0,New York Giants
8715,2005,San Francisco 49ers,31.0,34.0,Dallas Cowboys
8716,2005,Seattle Seahawks,37.0,12.0,Arizona Cardinals
8717,2005,St. Louis Rams,31.0,27.0,Tennessee Titans
8718,2005,Denver Broncos,30.0,10.0,Kansas City Chiefs
8719,2005,Arizona Cardinals,31.0,14.0,San Francisco 49ers
8720,2005,Atlanta Falcons,30.0,10.0,Minnesota Vikings
8721,2005,Baltimore Ravens,13.0,3.0,New York Jets
8722,2005,Cincinnati Bengals,16.0,10.0,Houston Texans
8723,2005,Jacksonville Jaguars,7.0,20.0,Denver Broncos
8724,2005,Kansas City Chiefs,31.0,37.0,Philadelphia Eagles
8725,2005,New England Patriots,17.0,41.0,San Diego Chargers
8726,2005,New Orleans Saints,19.0,7.0,Buffalo Bills
8727,2005,New York Giants,44.0,24.0,St. Louis Rams
8728,2005,Oakland Raiders,19.0,13.0,Dallas Cowboys
8729,2005,Tampa Bay Buccaneers,17.0,13.0,Detroit Lions
8730,2005,Tennessee Titans,10.0,31.0,Indianapolis Colts
8731,2005,Washington Redskins,20.0,17.0,Seattle Seahawks
8732,2005,Carolina Panthers,32.0,29.0,Green Bay Packers
8733,2005,Arizona Cardinals,20.0,24.0,Carolina Panthers
8734,2005,Atlanta Falcons,28.0,31.0,New England Patriots
8735,2005,Buffalo Bills,20.0,14.0,Miami Dolphins
8736,2005,Cleveland Browns,20.0,10.0,Chicago Bears
8737,2005,Dallas Cowboys,33.0,10.0,Philadelphia Eagles
8738,2005,Denver Broncos,21.0,19.0,Washington Redskins
8739,2005,Detroit Lions,35.0,17.0,Baltimore Ravens
8740,2005,Green Bay Packers,52.0,3.0,New Orleans Saints
8741,2005,Houston Texans,20.0,34.0,Tennessee Titans
8742,2005,Jacksonville Jaguars,23.0,20.0,Cincinnati Bengals
8743,2005,New York Jets,14.0,12.0,Tampa Bay Buccaneers
8744,2005,San Francisco 49ers,3.0,28.0,Indianapolis Colts
8745,2005,St. Louis Rams,31.0,37.0,Seattle Seahawks
8746,2005,San Diego Chargers,22.0,24.0,Pittsburgh Steelers
8747,2005,Baltimore Ravens,16.0,3.0,Cleveland Browns
8748,2005,Buffalo Bills,27.0,17.0,New York Jets
8749,2005,Chicago Bears,28.0,3.0,Minnesota Vikings
8750,2005,Dallas Cowboys,16.0,13.0,New York Giants
8751,2005,Denver Broncos,28.0,20.0,New England Patriots
8752,2005,Detroit Lions,20.0,21.0,Carolina Panthers
8753,2005,Kansas City Chiefs,28.0,21.0,Washington Redskins
8754,2005,New Orleans Saints,31.0,34.0,Atlanta Falcons
