Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,Kansas City Chiefs,16,25.2,403,1059,387,5.8,21.7,91,213,43,10,16,62,115,890,1.339583333,23,13,8
2,Seattle Seahawks,16,28.2,452,1020,369.7,5.8,22.6,76,192,40,7,8,88,94,846,1.243055556,18,7,10
3,Indianapolis Colts,16,27.4,439,1000,362.4,5.8,22.7,91,187,49,8,13,62,94,690,1.265277778,14,8,12
4,New York Giants,16,26.4,422,1055,361.7,5.5,19.5,90,227,40,6,13,46,143,1115,1.304166667,17,8,12
5,Denver Broncos,16,24.7,395,1030,360.4,5.6,20.6,76,210,36,14,19,74,97,756,1.361111111,19,9,20
6,Cincinnati Bengals,16,26.3,421,1018,358.1,5.6,21.4,84,196,43,3,10,30,110,920,1.286111111,18,6,24
7,New England Patriots,16,23.7,379,1031,352,5.5,20.9,93,221,42,13,17,76,110,921,1.263194444,19,9,-6
8,Arizona Cardinals,16,19.4,311,1075,348.4,5.2,19,91,239,38,5,16,31,145,1184,1.305555556,26,16,-11
9,St. Louis Rams,16,22.7,363,1025,348.2,5.4,19.6,77,211,36,14,21,67,131,941,1.268055556,24,13,-10
10,San Diego Chargers,16,26.1,418,1022,347.9,5.4,21.1,88,208,42,11,17,65,110,890,1.315972222,22,12,-8
11,Washington Redskins,16,22.4,359,1037,330.6,5.1,18.8,97,230,42,6,11,54,108,925,1.322916667,29,16,1
12,Atlanta Falcons,16,21.9,351,1021,326.6,5.1,19.6,94,219,43,5,14,36,114,1043,1.267361111,26,16,0
13,Dallas Cowboys,16,20.3,325,1071,325.1,4.9,19.9,94,232,40,7,13,54,99,739,1.356944444,36,14,-5
14,Miami Dolphins,16,19.9,318,1026,324.9,5.1,17.1,79,225,35,6,15,40,132,1055,1.142361111,31,14,1
15,Jacksonville Jaguars,16,22.6,361,1021,321.8,5,18.8,93,225,41,4,10,40,121,1006,1.327777778,27,11,11
15,Pittsburgh Steelers,16,24.3,389,960,321.8,5.4,18.6,68,192,35,5,12,42,99,876,1.322222222,22,9,7
17,Tennessee Titans,16,18.7,299,1022,320.1,5,17.4,75,218,34,9,31,29,125,1002,1.300694444,27,12,-6
18,Green Bay Packers,16,18.6,298,1051,319.9,4.9,19.9,91,221,41,9,19,47,119,918,1.290277778,31,15,-24
19,Philadelphia Eagles,16,19.4,310,1027,319.3,5,17.6,72,220,33,3,12,25,134,1130,1.195138889,34,14,-7
20,New Orleans Saints,16,14.7,235,1017,314.4,4.9,19.5,82,211,39,2,12,17,135,1130,1.272222222,23,19,-24
21,Oakland Raiders,16,18.1,290,997,309.4,5,18.4,85,214,40,7,14,50,147,1132,1.171527778,26,9,-4
22,Carolina Panthers,16,24.4,391,964,309.4,5.1,17.4,92,218,42,2,6,33,91,732,1.283333333,23,10,16
23,Tampa Bay Buccaneers,16,18.8,300,985,294.8,4.8,16.8,87,221,39,4,7,57,131,1085,1.300694444,16,9,7
24,Baltimore Ravens,16,16.6,265,1056,293.3,4.4,17.9,95,243,39,11,19,58,139,1067,1.279166667,28,15,-10
25,Minnesota Vikings,16,19.1,306,945,288.3,4.9,17.8,64,196,33,4,9,44,128,1013,1.198611111,25,14,5
26,Cleveland Browns,16,14.5,232,938,284.4,4.9,15.1,67,203,33,7,18,39,99,770,27:60,27,13,-7
27,Detroit Lions,16,15.9,254,955,269.9,4.5,16.1,87,224,39,7,17,41,115,838,1.231944444,21,12,1
28,Buffalo Bills,16,16.9,271,930,257.6,4.4,16.2,74,201,37,6,16,38,120,897,1.211111111,26,10,4
29,Chicago Bears,16,16.2,260,937,256.3,4.4,14.6,62,215,29,7,16,44,105,850,1.202777778,32,13,6
30,Houston Texans,16,16.2,260,954,253.3,4.2,15.2,75,219,34,8,17,47,106,854,1.195138889,30,11,-8
31,New York Jets,16,15,240,907,248.1,4.4,15.7,72,204,35,8,19,42,98,801,1.115972222,36,19,-6
32,San Francisco 49ers,16,14.9,239,865,224.2,4.1,11.9,49,204,24,5,8,62,106,780,1.150694444,31,14,-9
